
1491.04	1192.55	1519.84	1233.87	1506.33	1268.34	1479.07	1181.95	
1498.48	1202.47	1495.82	1243.79	1505.86	1214.66	1488.4	1192.3	
1501.48	1253.82	1474.71	1243.96	1521.54	1198.98	1503.21	1205.66	
1494.11	1263.98	1455.91	1218.36	1492.2	1204	1502.82	1248.53	
1471.53	1274.88	1453	1219.02	1504.45	1201.12	1484.24	1296.16	
1457.45	1270.36	1448.59	1279.95	1502.3	1207.17	1464.33	1303.74	
1430.64	1266.57	1447.76	1325.69	1469.74	1230.26	1453.69	1311.45	
1399.23	1268.28	1426.63	1338.88	1432.67	1264.38	1460.99	1311.4	
1385.44	1256.24	1431.05	1320.12	1405.81	1295.06	1437.76	1321.65	
1391.79	1273.43	1440.59	1304.63	1413.33	1335.07	1409.26	1336.83	
1394.16	1293.21	1412.02	1290.75	1418.57	1344.04	1371.5	1339.58	
1404.31	1317.7	1399.7	1290.19	1391.1	1354.11	1372.84	1316.57	
1409.38	1356.22	1370.62	1297.31	1374.04	1349.8	1367.77	1340.74	
1414.37	1397.62	1344.89	1304.46	1354.1	1351.88	1375.97	1339.86	
1423.17	1417.01	1367.31	1327.28	1325.81	1342.14	1356.21	1346.85	
1395.14	1440.35	1347.01	1369.99	1293.83	1360.35	1342.46	1345.03	
1380.17	1473.85	1331.52	1425.38	1263.03	1363.63	1298.56	1338.75	
1288.92	1503.36	1264.44	1463.93	1204.32	1278.47	1241.8	1268.94	
1007.2	1596.73	983.607	1604.93	952.548	936.893	973.038	934.094	
692.588	1802.3	630.112	1867.19	628.948	504.069	632.938	498.861	
530.781	628.196	467.607	688.041	472.044	331	503.806	300.342	
505.697	343.456	425.068	400.766	433.291	282.216	485.345	248.485	
522.405	280.139	436.033	344.29	439.276	281.418	482.573	226.844	
503.43	235.194	461.27	328.231	429.293	279.703	474.394	239.19	
488.877	205.99	492.494	299.908	441.604	286.327	486.543	231.419	
497.757	202.241	513.497	247.714	448.883	288.741	467.471	256.417	
465.578	223.854	523.733	214.94	486.09	283.061	450.915	263.36	
439.921	236.733	527.662	215.281	489.611	234.92	444.919	254.595	
430.211	266.34	515.261	232.693	502.738	206.673	473.694	229.829	
456.563	273.392	485.845	258.173	524.738	191.011	470.952	236.334	
487.798	236.041	452.538	251.261	522.173	187.133	464.198	236.137	
521.927	209.871	424.005	241.978	522.326	194.868	473.237	239.137	
1502.6	1212.03	1496.63	1233.97	1502.42	1260.95	1486.16	1203.35	
1499.6	1222.08	1485.92	1244.48	1509.44	1244.01	1490.44	1206.83	
1500.13	1232.78	1469.11	1243.06	1496.79	1223.09	1492.65	1225.99	
1490.03	1261.22	1467.42	1234.78	1500.86	1212.67	1496.21	1256.89	
1475.83	1273.58	1461.65	1245.34	1488.61	1214.87	1484.61	1287.3	
1452.65	1282.42	1459.29	1269.81	1474.18	1224.31	1465.1	1307.42	
1429.47	1288.62	1450.85	1308.88	1457.35	1245.3	1459.35	1314.56	
1408.4	1283.85	1445.1	1323.32	1430.09	1270.63	1447.17	1317.56	
1396.75	1284.36	1435.05	1331.74	1414.07	1303.11	1429.45	1323.22	
1391.29	1284.42	1421.05	1321.82	1418.27	1331.26	1403.16	1332.28	
1390.6	1304.68	1407.14	1315.06	1414.57	1358.13	1378.91	1335.87	
1390.7	1321.7	1378.97	1309.71	1400.25	1367.86	1357.9	1352.79	
1399.81	1354.64	1361.24	1315.8	1376.41	1366.12	1356.78	1343.51	
1393.99	1390.57	1361.03	1322.91	1356.4	1353.19	1349.05	1348.16	
1386.94	1405.96	1351.97	1337.42	1331.46	1360.34	1346.05	1351.4	
1373.32	1435.23	1354.4	1367.93	1301.73	1358.76	1330.31	1359.39	
